Genus,Common,Paleol,Archaeol,Extinct
Antilocapra,pronghorn,4,7,0
Stockoceros,four-horned pronghorn,1,0,1
Odocoileus,deer,17,15,0
Ovis,mountain sheep,4,2,0
Rangifer,caribou,7,3,0
Platygonus,flat-headed peccary,5,0,1
Castoroides,giant beaver,3,0,1
Cervus,elk,6,3,0
Navahoceros,mountain deer,1,0,1
Bootherium,Helmeted muskox,4,0,1
Nothrotheriops,Shasta ground sloth,8,0,1
Equus,horse,25,1,1
Tapirus ,tapir,2,0,1
Alces,moose,1,0,0
Ovibos,muskox,1,0,0
Euceratherium,shrub ox,2,0,1
Megalonyx,Jefferson’s ground sloth,2,0,1
Cervalces,stag-moose,6,0,1
Bison,bison,29,61,0
Camelops,camel,14,1,1
Mammut ,mastodon,18,2,1
Cuvieronius,gomphothere,1,1,1
Mammuthus,mammoth ,32,12,1
